timestamp,sensor,temperature,equipment
17:18:21,1,20.1,cathode
17:18:21,2,20.1,cathode
17:18:21,3,1320.0,cathode
17:18:22,1,20.1,cathode
17:18:22,2,20.1,cathode
17:18:22,3,1320.0,cathode
17:18:23,1,20.1,cathode
17:18:23,2,20.1,cathode
17:18:23,3,1320.0,cathode
17:18:23,1,20.1,cathode
17:18:23,2,20.1,cathode
17:18:24,3,1320.0,cathode
17:18:24,2,20.1,cathode
17:18:24,3,1320.0,cathode
17:18:24,1,20.1,cathode
17:18:25,1,20.1,cathode
17:18:25,2,20.1,cathode
17:18:25,3,1320.0,cathode
17:18:25,1,20.1,cathode
17:18:25,2,20.1,cathode
17:18:25,3,1320.0,cathode
17:18:26,1,20.1,cathode
17:18:26,2,20.1,cathode
17:18:26,3,1320.0,cathode
17:18:27,2,20.1,cathode
17:18:27,3,1320.0,cathode
17:18:27,1,20.1,cathode
17:18:27,1,20.1,cathode
17:18:27,2,20.1,cathode
17:18:27,3,1320.0,cathode
17:18:28,1,20.1,cathode
17:18:28,2,20.1,cathode
17:18:28,3,1320.0,cathode
17:18:28,1,20.1,cathode
17:18:28,2,20.1,cathode
17:18:28,3,1320.0,cathode
17:18:29,1,20.1,cathode
17:18:29,3,1320.0,cathode
17:18:29,1,20.1,cathode
17:18:29,2,20.1,cathode
17:18:30,2,20.1,cathode
17:18:30,3,1320.0,cathode
17:18:30,1,20.1,cathode
17:18:31,1,20.1,cathode
17:18:31,2,20.1,cathode
17:18:31,3,1320.0,cathode
17:18:31,1,20.1,cathode
17:18:31,2,20.1,cathode
17:18:31,3,1320.0,cathode
17:18:32,2,20.1,cathode
17:18:32,1,20.1,cathode
17:18:32,3,1320.0,cathode
17:18:32,2,20.1,cathode
17:18:33,3,1320.0,cathode
17:18:33,2,20.1,cathode
17:18:33,1,20.1,cathode
17:18:34,3,1320.0,cathode
17:18:34,2,20.1,cathode
17:18:34,1,20.1,cathode
17:18:34,3,1320.0,cathode
17:18:34,2,20.1,cathode
17:18:34,1,20.1,cathode
17:18:35,2,20.1,cathode
17:18:35,3,1320.0,cathode
17:18:35,2,20.1,cathode
17:18:35,3,1320.0,cathode
17:18:35,1,20.1,cathode
17:18:36,1,20.1,cathode
17:18:36,3,1320.0,cathode
17:18:36,2,20.1,cathode
17:18:36,1,20.1,cathode
17:18:36,3,1320.0,cathode
17:18:37,2,20.1,cathode
17:18:37,1,20.1,cathode
17:18:37,3,1320.0,cathode
17:18:38,2,20.1,cathode
17:18:38,1,20.1,cathode
17:18:38,2,20.1,cathode
17:18:39,3,1320.0,cathode
17:18:39,1,20.1,cathode
17:18:39,2,20.1,cathode
17:18:39,3,1320.0,cathode
17:18:40,1,20.1,cathode
17:18:40,2,20.1,cathode
17:18:40,3,1320.0,cathode
17:18:41,1,20.1,cathode
17:18:41,2,20.1,cathode
17:18:41,3,1320.0,cathode
17:18:41,3,1320.0,cathode
17:18:41,2,20.1,cathode
17:18:41,1,20.1,cathode
17:18:42,2,20.1,cathode
17:18:42,3,1320.0,cathode
17:18:42,1,20.1,cathode
17:18:42,2,20.1,cathode
17:18:42,3,1320.0,cathode
17:18:43,1,20.1,cathode
17:18:43,1,20.1,cathode
17:18:43,2,20.1,cathode
17:18:43,3,1320.0,cathode
17:18:43,2,20.1,cathode
17:18:44,3,1320.0,cathode
17:18:44,1,20.1,cathode
