timestamp,sensor,temperature,equipment
17:41:31,1,19.9,cathode
17:41:31,2,19.9,cathode
17:41:31,3,1320.0,cathode
17:41:32,1,19.9,cathode
17:41:32,2,19.9,cathode
17:41:32,3,1320.0,cathode
17:41:32,1,19.9,cathode
17:41:32,2,19.9,cathode
17:41:32,3,1320.0,cathode
17:41:33,1,19.9,cathode
17:41:33,2,19.9,cathode
17:41:33,3,1320.0,cathode
17:41:33,1,19.9,cathode
17:41:33,2,19.9,cathode
17:41:34,3,1320.0,cathode
17:41:34,2,19.9,cathode
17:41:34,3,1320.0,cathode
17:41:34,1,19.9,cathode
17:41:35,1,19.9,cathode
17:41:35,2,19.9,cathode
17:41:35,3,1320.0,cathode
17:41:35,1,19.9,cathode
17:41:35,2,19.9,cathode
17:41:36,1,19.9,cathode
17:41:36,3,1320.0,cathode
17:41:36,2,19.9,cathode
17:41:36,3,1320.0,cathode
17:41:36,1,19.9,cathode
17:41:36,2,19.9,cathode
17:41:37,3,1320.0,cathode
17:41:37,1,19.9,cathode
17:41:37,2,19.9,cathode
17:41:38,3,1320.0,cathode
17:41:38,1,19.9,cathode
